;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;Total
Aargau;21.67;31.46;24.72;7.22;6.41;1.72;0.96;0.88;0;0.96;0.4;0.5;0.45;0.25;0.6;0.63;6.52;7.27;8.86;8.1;7.68;18.02;16.84;179.49
Appenzell Ausserrhoden;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12;277.49
Appenzell Innerrhoden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109.57
Basel-Landschaft;1.98;1.06;2.41;0.13;0;0;0;0;0;0;0;0;2;2;2;0;0.96;2.61;1.33;2.75;0.88;8.6;6.56;0.15
Basel-Stadt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25
Bern;23.02;27.09;23.61;25.02;3.19;3.22;2.31;0.16;0;0;0;1;0;0;12.34;19.1;9.76;25.04;20.84;24.3;17.52;19.91;20.06;0.15
Fribourg;8.77;19.3;18.46;4.8;3.37;0;0;0;0;0;0.5;0;0;0;0;4.29;4.7;9.06;11.23;22.11;21.86;19.83;12.11;0.11
Genf;6.93;7.54;6.95;1;0;0;0;0;0;0;3.72;0;3.52;0;1.42;3.54;1.92;37.12;20.18;7.21;16.12;14.52;7.22;14.3
Glarus;2.63;5.09;4.71;0.35;1.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.38
Graubünden;12.24;11.38;7.39;4.59;2.36;0.3;0.9;0.45;0;0;0;0;0;0;0.1;0.6;0.4;0.64;5;0.94;3.18;5.91;1.77;160.39
Jura;8.88;11.34;13.3;0.7;2.12;0;0;0.33;0;0;0;0;0;0.07;0.07;0.07;0.07;2.12;2;0;0;0;0;23.36
Luzern;7.63;12.08;32.94;3.66;1.5;0;0;0;0;0;0;0;0.1;0;3.53;1.21;3.13;2.72;5.83;14.87;11.73;5.72;2.92;0
Neuchâtel;0;0;0.08;1.13;0.88;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.33;0;0;1;0.54;35.27
Nidwalden;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.61
Obwalden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.05;0.05;0;0;0;0;0;0.36
Schaffhausen;4.87;9.26;7.82;12.59;8.87;1;2.13;0;0;0;0;0;0;0.66;0;0.13;0;0;0;0;3.29;5.76;4.23;0
Schwyz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0;0;0;0;72.28
Solothurn;1.44;4.1;1.03;1.44;0;0;0;0;0;0;0;0;0;0;2.4;2.16;1.53;0.57;0.59;1.5;1.7;2.55;2.35;58.15
St. Gallen;7.16;18.67;16.68;4.11;0.4;0;0;0.2;0.3;0;0;0;0.2;0;11.85;7.17;1.4;1.8;0.04;1.2;0;0.1;1;172.12
Tessin;5.53;3.85;7.21;5.9;1.68;0;0;0;0;0;0;0;0;0;0;0;0;0.48;2.01;2.2;3.83;7.14;1.49;138.58
Thurgau;13.65;14.07;20.66;11.18;6.67;7.16;2.5;1.63;3.4;1.65;0.06;0;0;0.13;25.31;8.83;3.73;4.53;3.12;3.41;2.24;1.65;3;41.32
Uri;0;0;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323.27
Vaud;57.44;91.18;77.42;11.5;8.65;6.33;7.46;1.15;0.68;0.36;2.7;2.78;1.35;2.11;3.39;3.71;4.44;5.51;7.98;3.16;9.95;8.15;5.87;37.87
Wallis;4.75;4.59;4.64;1.68;0.43;0;0;0;0;0;0;0;0;0.03;0.03;1.82;0.03;0;0.75;2.29;5.74;5.31;5.78;4.46
Zug;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.69;0.39;0;0.5;0;0.8;138.91
Zürich;9.9;18.97;18.53;28.67;19.99;9.33;3.43;0.73;0;0;0;0.3;0.3;2.22;3.65;4.71;5.05;2.78;2.83;6.96;8.11;20.28;12.75;41.07
Total;198.63;291.06;288.74;125.7;68.07;29.09;19.72;5.56;4.38;2.97;7.38;4.58;7.92;7.47;66.74;58.07;44.24;103.04;93.36;101;114.33;144.45;105.41;1891.91
